Date,DowJones
2-Jan-07,12441.27
1-Feb-07,12477.16
1-Mar-07,12767.57
2-Apr-07,12447.52
1-May-07,12808.63
1-Jun-07,13542.88
2-Jul-07,13489.42
1-Aug-07,13851.08
4-Sep-07,13236.13
1-Oct-07,13815.56
1-Nov-07,13522.02
3-Dec-07,13176.79
2-Jan-08,13167.2
1-Feb-08,12159.21
3-Mar-08,12348.21
1-Apr-08,11972.25
1-May-08,12620.49
2-Jun-08,12986.8
1-Jul-08,12160.3
1-Aug-08,11496.57
2-Sep-08,11479.39
1-Oct-08,10609.66
3-Nov-08,8852.22
1-Dec-08,8282.66
2-Jan-09,8564.53
2-Feb-09,8200.14
2-Mar-09,7939.53
1-Apr-09,7216.97
1-May-09,8029.62
1-Jun-09,8284.89
1-Jul-09,8612.13
3-Aug-09,8711.82
1-Sep-09,9321.4
1-Oct-09,9683.41
2-Nov-09,10015.86
1-Dec-09,10246.97
