Date,PX_LAST,Nasdaq,SG_CTA
2000/1/3,829.39,4131.149902,996.74
2000/1/4,832.53,3901.689941,986.991882
2000/1/5,828.84,3877.540039,984.159216
2000/1/6,831.02,3727.129883,982.397571
2000/1/7,833.27,3882.620117,977.014032
2000/1/10,831.98,4049.669922,979.759442
2000/1/11,828.11,3921.189941,993.505467
2000/1/12,827.04,3850.02002,996.257477
2000/1/13,830.78,3957.209961,994.693353
2000/1/14,829.45,4064.27002,1004.341878
2000/1/18,827.44,4130.810059,1006.300344
2000/1/19,828.56,4151.290039,1016.554544
2000/1/20,827.42,4189.509766,1013.433721
2000/1/21,828.15,4235.399902,1012.967542
2000/1/24,831.84,4096.080078,1011.053034
2000/1/25,832.09,4167.410156,1011.851766
2000/1/26,832.89,4069.909912,1011.659514
2000/1/27,833.28,4039.560059,1006.935064
2000/1/28,833.71,3887.070068,1014.617978
2000/1/31,831.02,3940.350098,1021.568112
2000/2/1,832.85,4051.97998,1023.396719
2000/2/2,833.3,4073.959961,1020.152551
2000/2/3,837.01,4210.97998,1014.939572
2000/2/4,834.8,4244.140137,1001.278486
2000/2/7,832.17,4321.77002,1009.228637
2000/2/8,834.91,4427.5,1018.06948
2000/2/9,832.82,4363.240234,1010.88191
2000/2/10,831.01,4485.629883,1012.934001
2000/2/11,832.34,4395.450195,1019.913116
2000/2/14,835.87,4418.549805,1018.209861
2000/2/15,834.92,4420.77002,1021.488497
2000/2/16,834.2,4427.649902,1018.6079
2000/2/17,833.98,4548.919922,1018.821807
2000/2/18,836.8,4411.740234,1022.52013
2000/2/22,842.3,4382.120117,1025.444538
2000/2/23,839.54,4550.330078,1023.752553
2000/2/24,842.36,4617.649902,1011.68251
2000/2/25,842.26,4590.5,1015.445969
2000/2/28,839.67,4577.850098,1014.471141
2000/2/29,841.07,4696.689941,1014.065352
2000/3/1,841.86,4784.080078,1008.873338
2000/3/2,842.06,4754.509766,1015.451192
2000/3/3,843.75,4914.790039,1006.525376
2000/3/6,842.64,4904.850098,1011.970679
2000/3/7,843.47,4847.839844,1012.942171
2000/3/8,843.32,4897.259766,1015.302326
2000/3/9,843.92,5046.859863,1018.459916
2000/3/10,842.1,5048.620117,1007.246672
2000/3/13,842.9,4907.240234,1000.99167
2000/3/14,843.82,4706.629883,1000.401085
2000/3/15,844.62,4582.620117,994.638775
2000/3/16,845.8,4717.390137,992.092499
2000/3/17,847.89,4798.129883,993.402061
2000/3/20,848.36,4610,994.653748
2000/3/21,848.94,4711.680176,1000.731082
2000/3/22,849.03,4864.75,995.207047
2000/3/23,850.33,4940.609863,1001.735606
2000/3/24,846.87,4963.029785,1002.677238
2000/3/27,846.66,4958.560059,997.724012
2000/3/28,846.7,4833.890137,989.911833
2000/3/29,846.86,4644.669922,988.931821
2000/3/30,850.42,4457.890137,989.386729
2000/3/31,852.15,4572.830078,991.2072
2000/4/3,853.81,4223.680176,985.022068
2000/4/4,859.15,4148.890137,996.408923
2000/4/5,857.83,4169.220215,989.513773
2000/4/6,856.84,4267.560059,984.140714
2000/4/7,859,4446.450195,981.640996
2000/4/10,860.69,4188.200195,980.090003
2000/4/11,857.32,4055.899902,985.647114
2000/4/12,854.77,3769.629883,982.611321
2000/4/13,856.75,3676.780029,975.860781
2000/4/14,858.42,3321.290039,973.362578
2000/4/17,855.34,3539.159912,974.501413
2000/4/18,854.8,3793.570068,981.508078
2000/4/19,857.34,3706.409912,983.441649
2000/4/20,857.65,3643.879883,977.983547
2000/4/24,857.55,3482.47998,979.186467
2000/4/25,853.59,3711.22998,976.131405
2000/4/26,852.97,3630.090088,977.214911
2000/4/27,849.11,3774.030029,977.078101
2000/4/28,849.71,3860.659912,980.878934
2000/5/1,849.15,3958.080078,981.281095
2000/5/2,847.6,3785.449951,981.663794
2000/5/3,843.89,3707.310059,981.977927
2000/5/4,840.16,3720.23999,976.685066
2000/5/5,837.8,3816.820068,970.707754
2000/5/8,836.17,3669.379883,972.047331
2000/5/9,837.76,3585.01001,971.240531
2000/5/10,839.81,3384.72998,967.297295
2000/5/11,840.38,3499.580078,970.489376
2000/5/12,836.72,3529.060059,970.567015
2000/5/15,838.67,3607.649902,975.701315
2000/5/16,840.74,3717.570068,984.228945
2000/5/17,839.63,3644.959961,974.27839
2000/5/18,836.75,3538.709961,980.085089
2000/5/19,838.39,3390.399902,981.094577
2000/5/22,841.96,3364.209961,989.571234
2000/5/23,841.55,3164.550049,998.180503
2000/5/24,841.45,3270.610107,990.015386
2000/5/25,845.05,3205.350098,985.986024
2000/5/26,847.56,3205.110107,987.317105
2000/5/30,845.97,3459.47998,997.51609
2000/5/31,849.32,3400.909912,995.062202
2000/6/1,853.76,3582.5,987.041999
2000/6/2,857.47,3813.379883,986.854461
2000/6/5,860.38,3821.76001,984.594565
2000/6/6,860.4,3756.370117,983.255517
2000/6/7,860.41,3839.26001,983.491499
2000/6/8,860.28,3825.560059,972.771441
2000/6/9,860.13,3874.840088,961.983406
2000/6/12,862.06,3767.909912,955.259142
2000/6/13,862.08,3851.060059,958.75539
2000/6/14,864.54,3797.409912,960.998878
2000/6/15,864.3,3845.73999,967.63938
2000/6/16,867.43,3860.560059,970.097184
2000/6/19,866.7,3989.830078,975.830459
2000/6/20,865.63,4013.360107,976.933148
2000/6/21,862.37,4064.01001,971.071549
2000/6/22,861.36,3936.840088,973.654599
2000/6/23,859.33,3845.340088,968.620805
2000/6/26,862.47,3912.120117,968.45614
2000/6/27,863.16,3858.959961,965.056858
2000/6/28,862.5,3940.340088,961.399293
2000/6/29,865.86,3877.22998,964.071983
2000/6/30,866.99,3966.110107,964.139468
2000/7/3,869.09,3991.929932,964.766159
2000/7/5,870.58,3863.100098,962.826979
2000/7/6,868.63,3960.570068,967.641113
2000/7/7,870.91,4023.199951,965.096217
2000/7/10,870.62,3980.290039,964.121469
2000/7/11,870.57,3956.419922,964.111828
2000/7/12,870.18,4099.589844,957.40161
2000/7/13,873.45,4174.859863,954.357073
2000/7/14,869.7,4246.180176,953.956243
2000/7/17,867.58,4274.669922,950.74141
2000/7/18,867.59,4177.169922,950.465695
2000/7/19,867.41,4055.629883,952.480683
2000/7/20,873.84,4184.560059,956.843045
2000/7/21,874.54,4094.449951,955.072886
2000/7/24,873.52,3981.570068,953.220044
2000/7/25,874.13,4029.570068,954.220925
2000/7/26,874.13,3987.719971,951.34872
2000/7/27,875.5,3842.22998,948.742024
2000/7/28,874.41,3663,950.222061
2000/7/31,874.86,3766.98999,946.820266
2000/8/1,876.47,3685.52002,948.732843
2000/8/2,877.5,3658.459961,952.205206
2000/8/3,878.71,3759.879883,953.147889
2000/8/4,881.02,3787.360107,954.95887
2000/8/7,880.26,3862.98999,949.926236
2000/8/8,882.06,3848.550049,947.42793
2000/8/9,882.68,3853.5,949.39858
2000/8/10,884.7,3759.98999,950.452414
2000/8/11,882.6,3789.469971,952.990121
2000/8/14,883.55,3849.689941,950.722005
2000/8/15,882.78,3851.659912,951.843857
2000/8/16,881.94,3861.199951,949.797393
2000/8/17,882.45,3940.870117,952.608793
2000/8/18,883.65,3930.340088,949.465184
2000/8/21,883.38,3953.149902,954.582802
2000/8/22,884.01,3958.209961,947.261151
2000/8/23,886.27,4011.01001,943.348964
2000/8/24,886.99,4053.280029,946.565784
2000/8/25,886.97,4042.679932,951.610979
2000/8/28,885.59,4070.590088,956.140647
2000/8/29,884.15,4082.169922,950.719329
2000/8/30,884.44,4103.810059,947.743579
2000/8/31,887.54,4206.350098,942.635241
2000/9/1,889.65,4234.330078,947.744324
2000/9/5,890.76,4143.180176,948.597294
2000/9/6,889.18,4013.340088,952.970326
2000/9/7,888,4098.350098,954.171069
2000/9/8,888.86,3978.409912,957.787377
2000/9/11,888.04,3896.350098,960.957654
2000/9/12,887.98,3849.51001,961.351646
2000/9/13,890.06,3893.889893,968.321446
2000/9/14,888.2,3913.860107,978.721218
