Date,SP500
2-Jan-07,1418.3
1-Feb-07,1445.94
1-Mar-07,1403.17
2-Apr-07,1424.55
1-May-07,1486.3
1-Jun-07,1536.34
2-Jul-07,1519.43
1-Aug-07,1465.81
4-Sep-07,1489.42
1-Oct-07,1546.63
1-Nov-07,1508.44
3-Dec-07,1481.14
2-Jan-08,1468.36
1-Feb-08,1378.55
3-Mar-08,1330.63
1-Apr-08,1322.7
1-May-08,1385.59
2-Jun-08,1400.38
1-Jul-08,1280
1-Aug-08,1267.38
2-Sep-08,1282.83
1-Oct-08,1166.36
3-Nov-08,954.09
1-Dec-08,857.39
2-Jan-09,869.42
2-Feb-09,874.09
2-Mar-09,764.9
1-Apr-09,815.94
1-May-09,855.16
1-Jun-09,893.06
1-Jul-09,918.9
3-Aug-09,975.15
1-Sep-09,1030.98
1-Oct-09,1062.98
2-Nov-09,1063.41
1-Dec-09,1106.24
