Date,Nasdaq,DowJones,SP500
2-Jan-07,2435.570068,12441.27,1418.3
3-Jan-07,2429.550049,12471.32,1416.6
4-Jan-07,2427.610107,12463.87,1418.34
5-Jan-07,2415.850098,12421.25,1409.71
8-Jan-07,2401.179932,12343.22,1412.84
9-Jan-07,2413.51001,12407.63,1412.11
10-Jan-07,2431.219971,12510.57,1414.85
11-Jan-07,2425.570068,12501.52,1423.82
12-Jan-07,2415.290039,12463.15,1430.73
16-Jan-07,2423.159912,12474.52,1431.9
17-Jan-07,2453.429932,12480.69,1430.62
18-Jan-07,2434.25,12398.01,1426.37
19-Jan-07,2438.199951,12423.49,1430.5
22-Jan-07,2443.830078,12416.6,1422.95
23-Jan-07,2459.330078,12442.16,1427.99
24-Jan-07,2484.850098,12514.98,1440.13
25-Jan-07,2502.820068,12556.08,1423.9
26-Jan-07,2497.780029,12582.59,1422.18
29-Jan-07,2479.419922,12577.15,1420.62
30-Jan-07,2443.209961,12567.93,1428.82
31-Jan-07,2451.310059,12565.53,1438.24
1-Feb-07,2431.070068,12477.16,1445.94
2-Feb-07,2431.409912,12533.8,1448.39
5-Feb-07,2466.280029,12621.77,1446.99
6-Feb-07,2434.23999,12502.56,1448
7-Feb-07,2435.48999,12487.02,1450.02
8-Feb-07,2441.090088,12490.78,1448.31
9-Feb-07,2448.639893,12523.31,1438.06
12-Feb-07,2463.929932,12621.69,1433.37
13-Feb-07,2468.379883,12673.68,1444.26
14-Feb-07,2475.879883,12653.49,1455.3
15-Feb-07,2470.600098,12661.74,1456.81
16-Feb-07,2471.48999,12666.31,1455.54
20-Feb-07,2490.5,12666.87,1459.68
21-Feb-07,2488.669922,12637.63,1457.63
22-Feb-07,2459.820068,12580.83,1456.38
23-Feb-07,2450.379883,12552.55,1451.19
26-Feb-07,2459.879883,12654.85,1449.37
27-Feb-07,2488.379883,12741.86,1399.04
28-Feb-07,2497.100098,12765.01,1406.82
1-Mar-07,2496.310059,12767.57,1403.17
2-Mar-07,2513.040039,12786.64,1387.17
5-Mar-07,2518.419922,12738.41,1374.12
6-Mar-07,2524.939941,12686.02,1395.41
7-Mar-07,2515.100098,12647.48,1391.97
8-Mar-07,2504.52002,12632.26,1401.89
9-Mar-07,2407.860107,12216.24,1402.84
12-Mar-07,2416.149902,12268.63,1406.6
13-Mar-07,2404.209961,12234.34,1377.95
14-Mar-07,2368,12114.1,1387.17
15-Mar-07,2340.679932,12050.41,1392.28
16-Mar-07,2385.139893,12207.59,1386.95
19-Mar-07,2374.639893,12192.45,1402.06
20-Mar-07,2387.72998,12260.7,1410.94
21-Mar-07,2387.550049,12276.32,1435.04
22-Mar-07,2402.290039,12318.62,1434.54
23-Mar-07,2350.570068,12075.96,1436.11
26-Mar-07,2371.73999,12133.4,1437.5
27-Mar-07,2378.699951,12159.68,1428.61
28-Mar-07,2372.659912,12110.41,1417.23
29-Mar-07,2394.409912,12226.17,1422.53
30-Mar-07,2408.209961,12288.1,1420.86
2-Apr-07,2455.919922,12447.52,1424.55
3-Apr-07,2451.73999,12461.14,1437.77
4-Apr-07,2448.929932,12481.01,1439.37
5-Apr-07,2455.629883,12469.07,1443.76
9-Apr-07,2437.429932,12397.29,1444.61
10-Apr-07,2417.100098,12300.36,1448.39
11-Apr-07,2417.879883,12348.75,1438.87
12-Apr-07,2421.639893,12354.35,1447.8
13-Apr-07,2422.26001,12382.3,1452.85
16-Apr-07,2450.330078,12510.3,1468.33
17-Apr-07,2458.689941,12530.05,1471.48
18-Apr-07,2471.340088,12560.2,1472.5
19-Apr-07,2469.179932,12569.14,1470.73
20-Apr-07,2477.610107,12573.85,1484.35
23-Apr-07,2459.310059,12484.62,1480.93
24-Apr-07,2480.320068,12552.96,1480.41
25-Apr-07,2491.939941,12612.13,1495.42
26-Apr-07,2518.330078,12720.46,1494.25
27-Apr-07,2516.949951,12773.04,1494.07
30-Apr-07,2510.5,12803.84,1482.37
1-May-07,2505.350098,12808.63,1486.3
2-May-07,2526.389893,12961.98,1495.92
3-May-07,2523.669922,12919.4,1502.39
4-May-07,2524.540039,12953.94,1505.62
7-May-07,2547.889893,13089.89,1509.48
8-May-07,2554.459961,13105.5,1507.72
9-May-07,2557.209961,13120.94,1512.58
10-May-07,2525.090088,13062.91,1491.47
11-May-07,2531.530029,13136.14,1505.85
14-May-07,2557.840088,13211.88,1503.15
15-May-07,2565.459961,13241.38,1501.19
16-May-07,2572.149902,13264.62,1514.14
17-May-07,2570.949951,13312.97,1512.75
18-May-07,2571.75,13309.07,1522.75
21-May-07,2576.340088,13362.87,1525.1
22-May-07,2533.73999,13215.13,1524.12
23-May-07,2562.219971,13326.22,1522.28
24-May-07,2546.439941,13346.78,1507.51
25-May-07,2525.290039,13383.84,1515.73
29-May-07,2547.419922,13487.53,1518.11
30-May-07,2539.379883,13476.73,1530.23
31-May-07,2558.449951,13556.53,1530.62
1-Jun-07,2578.790039,13542.88,1536.34
4-Jun-07,2588.02002,13539.95,1539.18
5-Jun-07,2577.050049,13525.65,1530.95
6-Jun-07,2537.919922,13441.13,1517.38
7-Jun-07,2557.189941,13507.28,1490.72
8-Jun-07,2572.060059,13521.34,1507.67
11-Jun-07,2592.590088,13633.08,1509.12
12-Jun-07,2604.52002,13627.64,1493
13-Jun-07,2613.919922,13668.11,1515.67
14-Jun-07,2618.290039,13676.32,1522.97
15-Jun-07,2611.22998,13595.46,1532.91
18-Jun-07,2587.179932,13465.67,1531.05
19-Jun-07,2541.379883,13266.73,1533.7
20-Jun-07,2573.540039,13424.39,1512.84
21-Jun-07,2572.149902,13424.96,1522.19
22-Jun-07,2549.77002,13295.01,1502.56
25-Jun-07,2582.310059,13482.35,1497.74
26-Jun-07,2599.409912,13553.72,1492.89
27-Jun-07,2626.709961,13639.48,1506.34
28-Jun-07,2626.600098,13612.98,1505.71
29-Jun-07,2626.76001,13635.42,1503.35
2-Jul-07,2599.959961,13489.42,1519.43
3-Jul-07,2616.959961,13545.84,1524.87
5-Jul-07,2588.959961,13360.26,1525.4
6-Jul-07,2577.080078,13352.05,1530.44
9-Jul-07,2574.159912,13337.66,1531.85
10-Jul-07,2605.350098,13427.73,1510.12
11-Jul-07,2608.370117,13422.28,1518.76
12-Jul-07,2603.22998,13408.62,1547.7
13-Jul-07,2632.300049,13535.43,1552.5
16-Jul-07,2644.949951,13577.3,1549.52
17-Jul-07,2656.649902,13565.84,1549.37
18-Jul-07,2666.51001,13611.68,1546.17
19-Jul-07,2670.02002,13649.97,1553.08
20-Jul-07,2639.159912,13501.7,1534.1
23-Jul-07,2651.790039,13577.87,1541.57
24-Jul-07,2701.72998,13861.73,1511.04
25-Jul-07,2707,13907.25,1518.09
26-Jul-07,2697.330078,13950.98,1482.66
27-Jul-07,2712.290039,13971.55,1458.95
30-Jul-07,2699.48999,13918.22,1473.91
31-Jul-07,2720.040039,14000.41,1455.27
1-Aug-07,2687.600098,13851.08,1465.81
2-Aug-07,2690.580078,13943.42,1472.2
3-Aug-07,2639.860107,13716.95,1433.06
6-Aug-07,2648.169922,13785.07,1467.67
7-Aug-07,2599.340088,13473.57,1476.71
